season,week,team_id,opponent_team_id,points_for,points_against,result
2023,7,9,6,135.3,109.26,W
2023,7,6,9,109.26,135.3,L
2023,7,5,7,92.04,119.36,L
2023,7,7,5,119.36,92.04,W
2023,7,12,8,122.1,145.4,L
2023,7,8,12,145.4,122.1,W
2023,7,3,10,126.16,146.3,L
2023,7,10,3,146.3,126.16,W
2023,8,2,1,147.66,111.0,W
2023,8,1,2,111.0,147.66,L
2023,8,6,4,139.78,133.38,W
2023,8,4,6,133.38,139.78,L
2023,8,7,11,83.08,148.72,L
2023,8,11,7,148.72,83.08,W
2023,8,8,9,209.98,131.16,W
2023,8,9,8,131.16,209.98,L
2023,8,10,5,123.12,124.68,L
2023,8,5,10,124.68,123.12,W
2023,8,3,12,103.06,120.3,L
2023,8,12,3,120.3,103.06,W
2023,9,6,2,107.3,120.48,L
2023,9,2,6,120.48,107.3,W
2023,9,1,7,104.9,109.64,L
2023,9,7,1,109.64,104.9,W
2023,9,4,8,129.32,150.9,L
2023,9,8,4,150.9,129.32,W
2023,9,11,10,83.34,123.92,L
2023,9,10,11,123.92,83.34,W
2023,9,9,3,170.92,134.02,W
2023,9,3,9,134.02,170.92,L
2023,9,5,12,71.2,164.22,L
2023,9,12,5,164.22,71.2,W
2023,10,2,7,137.96,74.1,W
2023,10,7,2,74.1,137.96,L
2023,10,8,6,161.52,147.12,W
2023,10,6,8,147.12,161.52,L
2023,10,10,1,164.08,129.3,W
2023,10,1,10,129.3,164.08,L
2023,10,3,4,85.52,121.82,L
2023,10,4,3,121.82,85.52,W
2023,10,12,11,108.04,178.52,L
2023,10,11,12,178.52,108.04,W
2023,10,5,9,125.86,131.18,L
2023,10,9,5,131.18,125.86,W
2023,11,8,2,126.84,130.3,L
2023,11,2,8,130.3,126.84,W
2023,11,7,10,119.58,106.54,W
2023,11,10,7,106.54,119.58,L
2023,11,6,3,96.54,94.56,W
2023,11,3,6,94.56,96.54,L
2023,11,1,12,139.08,128.64,W
2023,11,12,1,128.64,139.08,L
2023,11,4,5,142.9,144.8,L
2023,11,5,4,144.8,142.9,W
2023,11,11,9,127.6,167.72,L
2023,11,9,11,167.72,127.6,W
2023,12,2,10,117.7,141.54,L
2023,12,10,2,141.54,117.7,W
2023,12,3,8,111.08,108.1,W
2023,12,8,3,108.1,111.08,L
2023,12,12,7,153.56,98.86,W
2023,12,7,12,98.86,153.56,L
2023,12,5,6,138.96,148.68,L
2023,12,6,5,148.68,138.96,W
2023,12,9,1,98.76,173.22,L
2023,12,1,9,173.22,98.76,W
2023,12,11,4,156.18,136.08,W
2023,12,4,11,136.08,156.18,L
2023,13,3,2,81.04,139.12,L
2023,13,2,3,139.12,81.04,W
2023,13,10,12,103.14,185.98,L
2023,13,12,10,185.98,103.14,W
2023,13,8,5,136.58,98.38,W
2023,13,5,8,98.38,136.58,L
2023,13,7,9,117.12,126.36,L
2023,13,9,7,126.36,117.12,W
2023,13,6,11,144.22,168.98,L
2023,13,11,6,168.98,144.22,W
2023,13,1,4,132.5,167.3,L
2023,13,4,1,167.3,132.5,W
2023,14,2,12,140.38,78.24,W
2023,14,12,2,78.24,140.38,L
2023,14,5,3,159.82,91.86,W
2023,14,3,5,91.86,159.82,L
2023,14,9,10,83.02,147.1,L
2023,14,10,9,147.1,83.02,W
2023,14,11,8,164.44,91.52,W
2023,14,8,11,91.52,164.44,L
2023,14,4,7,121.1,97.5,W
2023,14,7,4,97.5,121.1,L
2023,14,1,6,131.24,133.34,L
2023,14,6,1,133.34,131.24,W
2023,15,4,9,126.84,116.88,W
2023,15,9,4,116.88,126.84,L
2023,15,6,2,202.12,119.62,W
2023,15,2,6,119.62,202.12,L
2023,15,12,1,95.0,130.4,L
2023,15,1,12,130.4,95.0,W
2023,15,8,5,121.3,135.12,L
2023,15,5,8,135.12,121.3,W
2023,15,3,7,91.12,94.66,L
2023,15,7,3,94.66,91.12,W
2023,16,10,4,166.84,202.36,L
2023,16,4,10,202.36,166.84,W
2023,16,11,6,108.82,116.48,L
2023,16,6,11,116.48,108.82,W
2023,16,9,2,138.9,126.54,W
2023,16,2,9,126.54,138.9,L
2023,16,1,5,133.7,137.52,L
2023,16,5,1,137.52,133.7,W
2023,16,12,7,70.9,101.4,L
2023,16,7,12,101.4,70.9,W
2023,16,8,3,114.9,121.6,L
2023,16,3,8,121.6,114.9,W
2023,17,6,4,117.84,156.54,L
