season,pick_number,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team,bid_amount,keeper,round
2022,192,3050478,Jake Elliott,K,21.0,12,Shart City Poo Bums,1,False,
2023,1,4262921,Justin Jefferson,WR,16.0,7,Put it Justin??,77,False,
2023,2,4362628,Ja'Marr Chase,WR,4.0,12,El Ultimo Hombre,69,False,
2023,3,3116406,Tyreek Hill,WR,15.0,9,Olivas - Alone,64,False,
2023,4,15847,Travis Kelce,TE,12.0,1,MaChungus,71,False,
2023,5,3128720,,,,7,Put it Justin??,41,False,
2023,6,3916148,Tony Pollard,RB,10.0,12,El Ultimo Hombre,49,False,
2023,7,3068267,Austin Ekeler,RB,28.0,6,Whos Yurdatty,69,False,
2023,8,4047650,DK Metcalf,WR,26.0,11,Seattle  Ricks ,30,False,
2023,9,4374302,Amon-Ra St. Brown,WR,8.0,6,Whos Yurdatty,40,False,
2023,10,16800,Davante Adams,WR,13.0,5,One-cut Heroes,39,False,
2023,11,3117251,Christian McCaffrey,RB,25.0,8,False Shart,63,False,
2023,12,3116385,Joe Mixon,RB,34.0,2,Show Me Dem TDs,36,False,
2023,13,4047646,A.J. Brown,WR,21.0,2,Show Me Dem TDs,52,False,
2023,14,3043078,Derrick Henry,RB,33.0,4,Greendale Human Beings,56,False,
2023,15,3139477,Patrick Mahomes,QB,12.0,1,MaChungus,78,False,
2023,16,2977187,Cooper Kupp,WR,14.0,10,Team Clucker Fuckers,51,False,
2023,17,3918298,Josh Allen,QB,2.0,9,Olivas - Alone,59,False,
2023,18,4430807,Bijan Robinson,RB,1.0,5,One-cut Heroes,55,False,
2023,19,3929630,Saquon Barkley,RB,21.0,5,One-cut Heroes,48,False,
2023,20,4047365,Josh Jacobs,RB,9.0,11,Seattle  Ricks ,48,False,
2023,21,3916387,Lamar Jackson,QB,33.0,4,Greendale Human Beings,28,False,
2023,22,4040715,Jalen Hurts,QB,21.0,2,Show Me Dem TDs,87,False,
2023,23,2976212,Stefon Diggs,WR,2.0,3,Kareemin' My Jeans,52,False,
2023,24,4239996,Travis Etienne Jr.,RB,30.0,8,False Shart,36,False,
2023,25,4241389,CeeDee Lamb,WR,6.0,8,False Shart,50,False,
2023,26,4569618,Garrett Wilson,WR,20.0,3,Kareemin' My Jeans,40,False,
2023,27,3042519,Aaron Jones,RB,16.0,3,Kareemin' My Jeans,31,False,
2023,28,4239993,Tee Higgins,WR,4.0,9,Olivas - Alone,32,False,
2023,29,3126486,Deebo Samuel,WR,25.0,11,Seattle  Ricks ,32,False,
2023,30,4241457,Najee Harris,RB,23.0,10,Team Clucker Fuckers,34,False,
2023,31,4241478,DeVonta Smith,WR,21.0,3,Kareemin' My Jeans,42,False,
2023,32,4372016,,,,6,Whos Yurdatty,44,False,
2023,33,3054850,Alvin Kamara,RB,18.0,6,Whos Yurdatty,18,False,
2023,34,2976499,Amari Cooper,WR,5.0,4,Greendale Human Beings,19,False,
2023,35,4361370,Chris Olave,WR,18.0,8,False Shart,35,False,
2023,36,4429795,Jahmyr Gibbs,RB,8.0,1,MaChungus,38,False,
2023,37,3925357,Calvin Ridley,WR,10.0,12,El Ultimo Hombre,28,False,
2023,38,8439,,,,6,Whos Yurdatty,13,False,
2023,39,4569173,Rhamondre Stevenson,RB,17.0,10,Team Clucker Fuckers,31,False,
