season,week,team_id,player_id,player_name,position,lineup_slot_id,lineup_slot,is_starter,points
2022,1,4,-16024,Chargers D/ST,D/ST,16,D/ST,True,12.0
2022,1,4,10621,Nick Folk,K,17,K,True,1.0
2022,1,4,4035886,Khalil Herbert,RB,20,BE,False,11.3
2022,1,4,15072,Marvin Jones Jr.,WR,20,BE,False,7.800000000000001
2022,1,4,17359,Damien Williams,RB,20,BE,False,0.2
2022,1,11,3068267,Austin Ekeler,RB,2,RB,True,11.2
2022,1,11,3929630,Saquon Barkley,RB,2,RB,True,33.400000000000006
2022,1,11,4038941,Justin Herbert,QB,0,QB,True,29.259999999999998
2022,1,11,4360438,Brandon Aiyuk,WR,4,WR,True,6.7
2022,1,11,3117256,Dalton Schultz,TE,6,TE,True,13.2
2022,1,11,2577327,Tyler Lockett,WR,4,WR,True,5.800000000000001
2022,1,11,12483,Matthew Stafford,QB,20,BE,False,9.799999999999999
2022,1,11,14880,Kirk Cousins,QB,20,BE,False,23.08
2022,1,11,3916148,Tony Pollard,RB,20,BE,False,4.2
2022,1,11,15795,DeAndre Hopkins,WR,20,BE,False,0.0
2022,1,11,3139925,Rashaad Penny,RB,23,FLEX,True,8.7
2022,1,11,15880,Robert Woods,WR,23,FLEX,True,2.3
2022,1,11,4046692,Chase Claypool,WR,20,BE,False,9.4
2022,1,11,-16027,Buccaneers D/ST,D/ST,16,D/ST,True,12.0
2022,1,11,3051909,Daniel Carlson,K,17,K,True,9.0
2022,1,11,4036131,Noah Fant,TE,20,BE,False,4.6
2022,2,2,3042519,Aaron Jones,RB,2,RB,True,32.0
2022,2,2,2977187,Cooper Kupp,WR,4,WR,True,31.8
2022,2,2,3120348,JuJu Smith-Schuster,WR,4,WR,True,4.0
2022,2,2,3051392,Ezekiel Elliott,RB,2,RB,True,5.9
2022,2,2,3917315,Kyler Murray,QB,0,QB,True,27.880000000000003
2022,2,2,3915296,Michael Walker,WR,20,BE,False,0.0
2022,2,2,4240600,Kadarius Toney,WR,23,FLEX,True,2.0
2022,2,2,4258595,Cole Kmet,TE,20,BE,False,0.0
2022,2,2,-16011,Colts D/ST,D/ST,16,D/ST,True,0.0
2022,2,2,16339,Brandon McManus,K,17,K,True,12.0
2022,2,2,3916433,Jakobi Meyers,WR,23,FLEX,True,18.5
2022,2,2,3115378,Russell Gage,WR,20,BE,False,7.800000000000001
2022,2,2,-16015,Dolphins D/ST,D/ST,20,BE,False,-7.0
2022,2,2,12460,Graham Gano,K,20,BE,False,17.0
2022,2,2,4373626,Tyler Allgeier,RB,20,BE,False,3.0
2022,2,2,3051876,Evan Engram,TE,6,TE,True,11.600000000000001
