season,team_id,week,slot,starter_name,starter_points,bench_alternative,bench_points,points_left_on_bench,team_name
2022,7,3,FLEX,Rashod Bateman,5.9,Josh Jacobs,14.700000000000001,8.8,Worst Cook
2024,12,15,FLEX,Calvin Ridley,9.0,Justice Hill,17.8,8.8,El Ultimo Hombre
2022,7,4,FLEX,Marquise Brown,20.8,Miles Sanders,29.599999999999998,8.8,Worst Cook
2022,5,7,FLEX,James Robinson,0.0,T.J. Hockenson,8.8,8.8,One-cut Heroes
2022,6,6,QB,Lamar Jackson,18.1,Trevor Lawrence,26.900000000000002,8.8,Whos Yurdatty
2022,8,13,FLEX,George Pickens,1.2,Tyler Boyd,10.0,8.8,False Shart
2025,9,10,WR,Tetairoa McMillan,11.0,Jerry Jeudy,19.8,8.8,Cartel Del Taco
2024,3,7,WR,DeVonta Smith,0.8,Jordan Addison,9.600000000000001,8.8,Kareemin' My Jeans
2022,9,1,RB,Devin Singletary,8.200000000000001,Michael Carter,17.0,8.8,Slim Pickins
2024,10,16,FLEX,Isiah Pacheco,3.5,Rhamondre Stevenson,12.3,8.8,Team Clucker Fuckers
2023,2,2,WR,Courtland Sutton,11.600000000000001,Adam Thielen,20.4,8.8,Show Me Dem TDs
2023,12,8,FLEX,Kareem Hunt,13.7,Taysom Hill,22.46,8.76,El Ultimo Hombre
2024,11,6,WR,DK Metcalf,7.800000000000001,Tyler Lockett,16.5,8.7,Seattle  Ricks 
2023,10,14,TE,T.J. Hockenson,10.3,Hunter Henry,19.0,8.7,Team Clucker Fuckers
2023,4,10,FLEX,DeAndre Hopkins,5.7,DeMario Douglas,14.4,8.7,Greendale Human Beings
2023,3,10,FLEX,Christian Kirk,14.4,Devin Singletary,23.1,8.7,Kareemin' My Jeans
2023,3,3,FLEX,DeVonta Smith,6.800000000000001,Jakobi Meyers,15.5,8.7,Kareemin' My Jeans
2025,10,17,RB,Bucky Irving,8.3,Devin Singletary,17.0,8.7,Team Clucker Fuckers
2024,8,8,FLEX,Alexander Mattison,9.4,Puka Nacua,18.1,8.7,Here's to you
2022,11,6,FLEX,Joshua Palmer,14.7,Chase Claypool,23.400000000000002,8.7,Seattle  Ricks 
2025,5,2,FLEX,James Conner,12.200000000000001,Jauan Jennings,20.9,8.7,One-cut Heroes
2025,8,11,FLEX,Keenan Allen,9.3,Ty Johnson,18.0,8.7,Run CMC
2022,1,14,RB,Cam Akers,9.299999999999999,J.K. Dobbins,18.0,8.7,D. Adams Family
2023,1,9,WR,K.J. Osborn,3.7,Jaxon Smith-Njigba,12.3,8.6,MaChungus
2024,3,17,FLEX,Nick Chubb,0.0,Hollywood Brown,8.600000000000001,8.6,Kareemin' My Jeans
2023,4,9,WR,George Pickens,1.9,DeMario Douglas,10.5,8.6,Greendale Human Beings
2023,5,4,FLEX,Romeo Doubs,18.5,DJ Moore,27.1,8.6,One-cut Heroes
2022,4,8,FLEX,DeVonta Smith,7.300000000000001,Khalil Herbert,15.9,8.6,Greendale Human Beings
2025,1,4,RB,Alvin Kamara,11.2,RJ Harvey,19.8,8.6,"Two Gibbs, One Kupp"
2025,7,15,WR,Rome Odunze,0.0,Keenan Allen,8.6,8.6,Allen to this!
2024,10,8,QB,Jayden Daniels,27.240000000000002,Bo Nix,35.76,8.52,Team Clucker Fuckers
2024,6,4,RB,Najee Harris,10.3,Tony Pollard,18.8,8.5,Whos Yurdatty
2022,5,2,TE,T.J. Hockenson,5.6,Mike Gesicki,14.100000000000001,8.5,One-cut Heroes
2022,1,8,WR,Tee Higgins,14.9,Rondale Moore,23.4,8.5,D. Adams Family
2022,1,13,FLEX,Chris Olave,10.5,Cam Akers,19.0,8.5,D. Adams Family
2022,1,11,FLEX,Terry McLaurin,9.6,Treylon Burks,18.1,8.5,D. Adams Family
2024,11,15,WR,Quentin Johnston,15.5,Rashod Bateman,24.0,8.5,Seattle  Ricks 
2022,11,16,FLEX,Tony Pollard,14.0,D'Onta Foreman,22.5,8.5,Seattle  Ricks 
2025,8,8,TE,Tyler Warren,9.3,Dallas Goedert,17.8,8.5,Run CMC
2022,3,12,WR,A.J. Brown,12.600000000000001,Adam Thielen,21.1,8.5,Kareemin' My Jeans
2023,3,4,RB,Aaron Jones,2.4,Devin Singletary,10.84,8.44,Kareemin' My Jeans
2025,9,1,QB,Drake Maye,17.78,J.J. McCarthy,26.22,8.44,Cartel Del Taco
2022,11,7,TE,Noah Fant,1.7000000000000002,Taysom Hill,10.120000000000001,8.42,Seattle  Ricks 
2024,3,16,TE,Dalton Kincaid,5.5,Hunter Henry,13.9,8.4,Kareemin' My Jeans
2023,1,16,WR,Jaxon Smith-Njigba,12.100000000000001,K.J. Osborn,20.5,8.4,MaChungus
2023,3,11,FLEX,Garrett Wilson,0.9,Terry McLaurin,9.3,8.4,Kareemin' My Jeans
2023,11,15,FLEX,Michael Pittman Jr.,11.8,Kenneth Walker III,20.200000000000003,8.4,Seattle  Ricks 
2025,12,3,FLEX,Ladd McConkey,8.100000000000001,Quinshon Judkins,16.5,8.4,Blunder Bust 2000
2023,9,13,TE,Dalton Schultz,0.0,Gerald Everett,8.4,8.4,Olivas - Alone
2023,5,15,RB,Bijan Robinson,0.40000000000000013,Trey Sermon,8.8,8.4,One-cut Heroes
2025,9,1,RB,Omarion Hampton,8.100000000000001,Breece Hall,16.5,8.4,Cartel Del Taco
2024,2,15,FLEX,DeMario Douglas,10.1,Jalen McMillan,18.5,8.4,Show Me Dem TDs
