season,team_id,week,actual_points,optimal_points,points_left_on_bench,efficiency_pct,team_name
2022,11,11,151.16000000000003,182.35999999999999,31.19999999999996,82.9,Seattle  Ricks 
2022,12,11,105.12,105.12,0.0,100.0,Shart City Poo Bums
2022,1,12,117.5,132.0,14.5,89.0,D. Adams Family
2022,2,12,107.34,111.34,4.0,96.4,Show Me Dem TDs
2022,3,12,112.42,133.22,20.799999999999997,84.4,Kareemin' My Jeans
2022,4,12,116.66,124.36,7.700000000000003,93.8,Greendale Human Beings
2022,5,12,89.34,133.04000000000002,43.70000000000002,67.2,One-cut Heroes
2022,6,12,155.36,171.23999999999998,15.879999999999967,90.7,Whos Yurdatty
2022,7,12,169.9,180.4,10.5,94.2,Worst Cook
2022,8,12,140.32,146.32,6.0,95.9,False Shart
2022,9,12,126.82000000000001,160.72,33.89999999999999,78.9,Slim Pickins
2022,10,12,127.60000000000001,134.24000000000004,6.640000000000029,95.1,Team Clucker Fuckers
2022,11,12,151.46,154.66000000000003,3.200000000000017,97.9,Seattle  Ricks 
2022,12,12,131.79999999999998,148.9,17.100000000000023,88.5,Shart City Poo Bums
2022,1,13,138.74,162.24,23.5,85.5,D. Adams Family
2022,2,13,95.47999999999999,109.28000000000002,13.800000000000026,87.4,Show Me Dem TDs
2022,3,13,154.9,159.30000000000004,4.400000000000034,97.2,Kareemin' My Jeans
2022,4,13,135.9,149.0,13.099999999999994,91.2,Greendale Human Beings
2022,5,13,118.2,138.70000000000002,20.500000000000014,85.2,One-cut Heroes
2022,6,13,132.64000000000001,160.56000000000003,27.920000000000016,82.6,Whos Yurdatty
2022,7,13,133.07999999999998,146.48000000000002,13.400000000000034,90.9,Worst Cook
2022,8,13,117.42,144.78,27.36,81.1,False Shart
2022,9,13,137.8,152.50000000000003,14.700000000000017,90.4,Slim Pickins
2022,10,13,107.62,117.62,10.0,91.5,Team Clucker Fuckers
2022,11,13,157.60000000000002,161.34,3.7399999999999807,97.7,Seattle  Ricks 
2022,12,13,136.66,142.26,5.599999999999994,96.1,Shart City Poo Bums
2022,1,14,91.46000000000001,124.96000000000001,33.5,73.2,D. Adams Family
2022,2,14,126.9,128.9,2.0,98.4,Show Me Dem TDs
2022,3,14,150.18,166.48,16.299999999999983,90.2,Kareemin' My Jeans
2022,4,14,80.9,84.89999999999999,3.999999999999986,95.3,Greendale Human Beings
2022,5,14,78.16,92.96000000000001,14.800000000000011,84.1,One-cut Heroes
2022,6,14,166.02,174.42000000000002,8.400000000000006,95.2,Whos Yurdatty
2022,7,14,141.3,151.7,10.399999999999977,93.1,Worst Cook
2022,8,14,112.38000000000001,117.36000000000001,4.980000000000004,95.8,False Shart
2022,9,14,129.16000000000003,130.76,1.599999999999966,98.8,Slim Pickins
2022,10,14,102.98,115.38000000000001,12.400000000000006,89.3,Team Clucker Fuckers
2022,11,14,127.47999999999999,139.5,12.02000000000001,91.4,Seattle  Ricks 
2022,12,14,139.62,139.61999999999998,-2.842170943040401e-14,100.0,Shart City Poo Bums
2022,1,15,121.9,155.6,33.69999999999999,78.3,D. Adams Family
